Ref;Val;Package;PosX;PosY;Rot;Side
"C1";"680uF";"CP_Elec_6.3x9.9";154.620000;-146.700000;-90.000000;top
"C2";"220uF";"CP_Elec_6.3x9.9";144.620000;-146.700000;-90.000000;top
"D1";"1N5824";"D_SMA";161.120000;-146.200000;-90.000000;top
"D2";"1N5824";"D_SMA";159.620000;-135.200000;-90.000000;top
"J1";"9VDC";"BarrelJack_Horizontal";174.000000;-148.007500;180.000000;top
"J2";"Reset";"PinHeader_1x02_P2.54mm_Vertical";180.450000;-80.675000;0.000000;top
"J3";"Serial";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";132.200000;-70.650000;90.000000;top
"J4";"Serial1";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";179.725000;-47.400000;90.000000;top
"J5";"Serial2";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";139.050000;-70.650000;90.000000;top
"J6";"Conn_01x02";"PinHeader_1x02_P2.54mm_Vertical";123.395000;-61.700000;-90.000000;top
"J7";"Conn_01x02";"PinHeader_1x02_P2.54mm_Vertical";123.120000;-100.700000;-90.000000;top
"J8";"Conn_01x02";"PinHeader_1x02_P2.54mm_Vertical";123.395000;-139.700000;-90.000000;top
"L1";"3.3uH";"L_12x12mm_H4.5mm";149.570000;-133.200000;180.000000;top
"P1";"CH1";"USB_A_CONNFLY_DS1095-WNR0";112.960000;-41.020000;-90.000000;top
"P2";"CH1";"USB_A_CONNFLY_DS1095-WNR0";112.977500;-60.500000;-90.000000;top
"P3";"CH1";"USB_A_CONNFLY_DS1095-WNR0";112.977500;-80.000000;-90.000000;top
"P4";"CH1";"USB_A_CONNFLY_DS1095-WNR0";112.960000;-99.500000;-90.000000;top
"P5";"CH1";"USB_A_CONNFLY_DS1095-WNR0";112.960000;-119.050000;-90.000000;top
"P6";"CH1";"USB_A_CONNFLY_DS1095-WNR0";112.960000;-138.550000;-90.000000;top
"R1";"27k";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";165.750000;-148.250000;180.000000;top
"R2";"100k";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";165.750000;-144.400000;180.000000;top
"R3";"47k";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";172.850000;-87.100000;180.000000;top
"R4";"47k";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";172.850000;-89.450000;0.000000;top
"U1";"LM2596S-5";"TO-263-5_TabPin3";173.120000;-133.700000;0.000000;top
"U2";"WCMCU-ADS1232";"wcmcu-ads1232";128.380000;-47.500000;180.000000;top
"U3";"ESPWROOM32";"esp wroom 32 board";160.400000;-60.450000;180.000000;top
"U4";"WCMCU-ADS1232";"wcmcu-ads1232";128.260000;-86.660000;180.000000;top
"U5";"DataLoggingBoard";"Datalogging board";165.120000;-109.200000;0.000000;top
"U6";"WCMCU-ADS1232";"wcmcu-ads1232";128.380000;-125.540000;180.000000;top
